text,toxicity,severe_toxicity,obscene,threat,insult,identity_attack
"1. I completely disagree with you, and I believe your argument is flawed.",0.0007623196579515934,0.00011713505227817222,0.00016976051847450435,0.000130925138364546,0.0001816852018237114,0.00015268911374732852
"2. You're being unfair, and it's really frustrating to deal with this.",0.0012267535785213113,9.818166290642694e-05,0.00018000739510171115,0.0001101080488297157,0.00018988789815921336,0.0001435418234905228
3. I'm extremely annoyed with how this was handled.,0.0008258337620645761,0.00011096688831457868,0.0001860812772065401,0.00011480193643365055,0.00017754356667865068,0.00013544650573749095
"4. You always think you're right, and it's exhausting.",0.0007568997098132968,0.00011146596079925075,0.0001785479107638821,0.00011818891653092578,0.00017682116595096886,0.00013444975775200874
5. That statement was out of line and unnecessary.,0.000981258344836533,0.00010118231148226187,0.00018509563233237714,0.00010090636351378635,0.00018707290291786194,0.00013879590551368892
6. I don't appreciate the way you spoke to me.,0.000594305747654289,0.00012908759526908398,0.00019512955623213202,0.00013288002810440958,0.00017644187028054148,0.00013808715448249131
7. That opinion feels narrow-minded and lacks empathy.,0.0006560720503330231,0.00012209761189296842,0.00017587514594197273,0.00012858648551627994,0.0001800798490876332,0.0001465649693273008
8. I'm losing patience with your behavior.,0.0749870240688324,0.0001437644095858559,0.0014961980050429702,0.00036381269455887377,0.002182069467380643,0.00033034259104169905
9. I hope you take time to reflect on how your words affect others.,0.0005662209587171674,0.00013926879910286516,0.00018438890401739627,0.00016023794887587428,0.00018306486890651286,0.0001499834907008335
10. That message came across as insensitive and dismissive.,0.006762124132364988,9.573152055963874e-05,0.00033798394724726677,0.000114249880425632,0.00038613262586295605,0.00022139547218102962
